מ.במחסן,מחס,מספר פריט,שם פריט,מספר חליפי,***,כמות במלאי
,0,0330K1F1PM,פראקאנו K1 5 M F,K1F-27273,,
,0,0330K1FML,אולימפי K1 7 ML F,K1F,,
,0,0330K1FQ,אולימפי K1 4 ML F,K1F-22695,,
,0,0330K1FV42,VIPER K1 F 42 ST,VIPERF - 36543,,
,0,0330K1G,אולימפי K1 7 L G,K1G-28267,,
,0,0330K1SCS,אולימפי K1 SCS,K1SCS-27925,,
,0,0330K1SCSPCV,פראקאנו VAA V1 L SCS,V1SCS-28934,,
,0,0330K1SCSPM,קיאק תחרותי K1 SCS פאראקנו M,K1SCS-27271,,
,0,0330K1WV46,VIPER K1 WWR 46,VIPERWWR-27487,,
,0,0330K2 VA1,VIPER K2 A1 55,K2A1-21795,,
,0,0330K2 VA42,VIPER K2 A1 42,K2A1,,
,0,0330K2F,אולימפי K2 7 ML F,K2F,,
,0,0330K2SCS,אולימפי K2 7 L SCS,,,
,0,0330K4G,אולימפי K4 7 ML G,,,
,0,0330K4SCS,אולימפי K4 7 L SCS,,,
,0,0330KS20509,VIPER משענת רגליים להגה T,20509,,4.00
,0,0330KS20560,אולימפי כיסוי בד קל ומרופד K1,27546,,
,0,0330KS20982,אולימפי מושב קרבון סטנדרטי לקי,20982,,2.00
,0,0330KS209821,VIPER מושב פלסטיק סטנדרטי קיאק,27220,,2.00
,0,0330KS22083,אולימפי ריפוד למשענת רגלים K1,22083,,1.00
,0,0330KS22911,* פריט לביטול,,,
,0,0330KS28131,אולימפי סנפיר הגה 7 K2,28131,,3.00
,0,0330KS28131M,VIPER סנפיר הגה פלסטיק K2,22753,,
,0,0330KS29317,אולימפי משענת רגליים מלאה K1,29317,,1.00
,0,0330KS29317V,VIPER משענת רגליים A1-K1,20508,,1.00
,0,0330KS30365,אולימפי משענת רגל אחורית K2/K4,30365,,1.00
,0,0330KS37741,אולימפי מסילות אלו למשענת רגלי,37741,,
